Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index
5,58,Yes,7,2,43.61
2,59,No,7,5,36.05
7,69,No,5,3,59.16
4,42,No,6,0,22.99
4,85,No,5,3,66.87
1,78,No,8,0,52.03
9,67,Yes,7,4,64.61
2,90,No,6,0,66.13
5,96,No,7,7,82.69
6,59,Yes,7,9,48.87
5,73,Yes,7,5,59.48
4,97,No,7,7,80.84
8,73,No,4,1,65.21
7,92,No,6,4,83.26
8,59,No,9,0,53.2
5,94,Yes,8,9,82.13
7,58,No,8,6,50.02
2,84,Yes,8,0,61.59
6,43,Yes,6,8,31.9
2,94,Yes,5,2,70.71
8,86,Yes,8,8,82.37
3,72,No,6,5,51.65
5,41,Yes,9,6,28.07
4,81,No,7,9,64.95
4,64,Yes,9,8,49.02
6,54,Yes,8,7,43.88
3,63,No,6,1,41.7
6,70,No,7,7,59.08
7,45,Yes,7,2,36.1
4,57,Yes,7,2,39.74
4,90,Yes,9,8,75.48
7,55,Yes,7,1,46.09
4,66,No,8,0,48.4
8,85,No,6,9,79.98
2,49,No,4,8,25.0
5,62,No,6,9,47.98
4,52,No,4,1,32.39
2,61,Yes,9,9,40.44
9,62,Yes,7,5,59.72
1,74,No,4,1,46.21
1,42,Yes,9,7,17.84
6,41,Yes,6,0,28.29
1,88,No,5,9,62.52
3,71,Yes,5,9,51.53
5,72,No,7,0,56.88
5,55,Yes,4,9,40.48
4,95,Yes,9,5,79.98
3,95,Yes,4,9,75.48
1,41,Yes,8,8,16.53
8,53,No,8,2,47.0
4,95,No,9,6,79.59
9,94,Yes,7,5,92.3
7,69,Yes,5,8,60.74
6,59,Yes,4,5,46.62
6,95,No,6,9,84.44
9,70,Yes,8,2,67.76
8,46,No,9,0,39.97
4,94,Yes,8,3,78.08
7,52,No,4,4,41.57
7,89,Yes,4,5,80.02
8,95,Yes,9,6,91.62
5,91,No,9,4,77.98
5,43,Yes,7,0,27.95
7,54,Yes,7,1,45.07
3,91,Yes,8,5,72.56
9,47,No,5,2,42.29
2,93,No,6,4,69.97
7,48,No,9,1,39.34
6,96,Yes,5,9,85.56
7,74,Yes,8,7,67.1
1,91,No,6,1,64.49
7,58,Yes,6,4,49.24
6,87,Yes,6,1,75.31
6,91,No,6,2,78.99
1,40,No,9,6,15.01
6,90,No,5,4,77.88
4,79,No,4,4,60.47
2,93,Yes,4,2,69.2
3,43,Yes,5,5,22.24
9,57,No,7,9,54.82
2,60,No,8,2,36.96
5,40,No,4,5,23.83
3,75,No,6,5,54.71
8,47,No,4,9,40.32
8,66,No,6,9,60.64
2,58,No,6,9,35.33
8,91,No,7,1,85.0
5,80,Yes,5,6,65.82
4,50,Yes,7,3,32.81
7,60,No,7,8,51.96
6,46,Yes,9,5,35.82
3,62,No,5,6,41.18
9,76,Yes,8,1,73.67
2,72,Yes,8,4,50.16
9,54,Yes,5,7,51.0
2,42,Yes,9,4,20.11
8,92,No,6,7,86.71
6,41,No,8,8,30.24
3,80,Yes,7,0,59.89
3,40,Yes,9,9,21.92
9,47,Yes,7,1,43.66
6,86,Yes,7,9,76.36
5,74,Yes,7,1,59.7
1,99,No,7,3,73.51
4,84,No,5,3,65.85
2,83,No,7,6,60.67
4,83,Yes,5,4,65.62
7,83,Yes,9,5,76.35
6,45,No,4,5,31.78
5,64,No,6,5,49.23
3,70,Yes,8,3,50.79
7,80,Yes,9,5,73.3
9,41,Yes,5,7,37.76
2,60,Yes,9,4,38.44
6,92,Yes,9,7,83.05
7,83,Yes,4,2,73.33
8,73,Yes,4,6,66.79
6,99,Yes,5,3,87.44
4,48,No,4,7,29.5
3,95,Yes,5,4,74.98
3,69,Yes,4,1,47.43
4,61,No,6,0,42.33
9,50,No,7,8,47.5
6,52,Yes,8,9,42.23
3,55,No,9,4,35.61
3,40,Yes,8,0,19.66
9,50,Yes,7,5,47.51
7,83,Yes,9,8,76.94
3,80,No,5,9,60.1
3,67,Yes,9,0,47.63
8,81,Yes,9,3,76.78
9,40,Yes,8,9,38.6
9,67,No,4,9,63.54
7,97,Yes,7,9,90.42
2,94,No,8,0,71.18
5,56,No,9,5,42.55
5,65,Yes,9,9,53.09
5,59,Yes,9,0,45.21
5,52,No,7,9,38.29
9,45,No,5,8,41.44
1,62,No,7,1,35.45
6,41,Yes,8,4,30.05
4,56,Yes,7,3,38.91
6,71,No,8,6,60.39
2,42,No,7,9,19.53
9,41,Yes,5,5,37.37
8,80,Yes,4,5,73.72
7,57,Yes,7,7,49.3
6,83,Yes,6,3,71.63
2,65,No,9,9,43.92
6,51,Yes,4,0,37.5
9,60,Yes,9,3,58.26
1,87,Yes,4,4,60.63
1,47,Yes,8,8,22.64
1,62,No,8,9,37.51
7,52,No,5,8,42.84
5,93,No,7,1,78.45
5,92,No,8,6,78.91
1,88,No,6,8,62.81
6,53,Yes,7,1,41.19
9,55,Yes,7,5,52.6
1,78,No,4,6,51.26
7,71,Yes,4,7,62.09
1,57,No,8,0,30.65
8,69,Yes,4,5,62.53
8,97,No,9,6,93.06
5,58,No,8,2,43.51
7,86,No,6,4,77.15
2,45,Yes,8,5,22.88
2,59,Yes,5,6,35.86
2,77,No,7,5,54.37
5,97,Yes,5,3,82.54
8,80,No,8,2,74.48
1,97,Yes,8,7,73.34
9,63,No,8,9,61.42
3,65,No,8,3,45.11
3,53,Yes,9,8,34.96
9,87,No,4,3,82.72
5,98,Yes,4,6,83.66
6,79,No,6,9,68.15
1,42,No,4,2,13.83
5,77,No,4,0,60.51
6,95,No,5,5,83.16
4,79,Yes,6,4,62.04
7,72,Yes,4,2,62.13
9,53,Yes,6,9,50.86
9,99,Yes,8,8,98.46
4,67,No,5,6,49.14
2,54,Yes,7,6,31.75
8,53,Yes,4,3,45.84
3,65,No,9,1,45.2
1,41,Yes,5,5,14.48
5,49,No,7,4,34.25
5,60,Yes,4,0,43.8
8,99,No,9,3,94.51
3,83,Yes,6,3,63.05
5,92,No,9,1,78.41
5,47,No,7,9,33.2
3,83,No,6,2,62.26
7,91,No,8,7,83.81
9,80,Yes,6,4,77.36
4,63,Yes,9,9,48.2
1,79,No,7,4,53.35
5,95,Yes,7,2,81.28
6,96,Yes,5,6,84.97
3,98,Yes,7,7,79.6
2,73,Yes,6,6,50.6
3,50,No,4,1,27.5
5,57,Yes,5,3,41.82
3,82,Yes,4,3,61.06
1,57,Yes,7,8,32.34
3,52,No,7,4,31.58
8,40,Yes,6,0,32.99
9,43,Yes,6,6,40.09
8,67,No,4,1,59.11
5,65,No,5,4,49.57
1,62,Yes,7,6,37.03
2,78,No,9,3,55.97
6,77,Yes,7,0,65.42
6,74,No,5,4,61.59
7,69,Yes,5,1,59.36
5,92,No,5,8,77.84
8,77,No,4,2,69.48
4,68,Yes,5,5,50.55
9,91,No,5,8,88.26
7,43,Yes,7,0,33.67
6,98,No,8,0,86.69
8,55,Yes,9,3,50.31
7,64,Yes,7,8,56.63
3,50,No,7,0,28.76
2,95,No,5,8,72.31
8,75,No,8,3,69.59
5,47,Yes,4,5,31.55
5,85,Yes,8,5,72.18
2,80,No,6,0,55.95
3,61,Yes,8,1,41.24
3,90,No,6,5,69.98
8,49,Yes,4,3,41.77
3,73,No,5,5,52.18
1,85,Yes,9,5,61.22
5,68,No,5,6,53.01
8,84,Yes,6,9,79.56
3,48,Yes,5,3,26.94
8,78,No,7,0,71.57
4,94,Yes,4,5,76.53
2,71,Yes,9,9,50.62
1,89,Yes,5,5,63.35
6,95,No,5,6,83.36
8,90,No,5,4,83.6
8,56,Yes,9,9,52.51
7,58,No,8,8,50.41
5,91,No,4,4,75.55
7,96,Yes,6,3,87.73
5,82,Yes,4,6,67.37
9,69,Yes,5,9,66.66
4,81,Yes,8,1,64.46
8,51,Yes,4,9,44.99
4,52,No,5,3,33.27
5,91,No,4,4,75.55
6,59,No,9,0,47.48
7,76,Yes,7,7,68.65
9,98,Yes,4,8,95.5
5,60,No,9,2,46.03
4,64,No,8,6,47.54
2,65,Yes,8,1,42.45
5,40,Yes,8,9,27.16
9,83,No,8,9,81.78
8,45,Yes,9,7,40.92
7,67,Yes,8,6,59.77
7,84,No,6,0,74.33
4,69,No,8,5,52.43
3,57,No,6,3,35.99
5,66,No,6,8,51.86
2,60,Yes,6,5,37.17
3,99,No,8,8,80.7
7,79,Yes,9,6,72.48
9,54,Yes,4,4,49.92
5,91,No,6,3,76.32
1,57,No,8,3,31.24
7,94,Yes,4,2,84.52
2,76,Yes,9,8,55.51
9,99,Yes,5,7,96.81
2,91,No,8,2,68.52
6,59,No,9,5,48.46
8,40,No,4,3,32.02
1,60,No,9,5,35.18
4,62,No,7,1,44.03
3,93,Yes,9,5,75.09
5,58,Yes,8,8,45.28
1,67,No,9,3,41.91
6,70,No,8,5,59.17
1,70,No,9,4,45.16
8,61,No,8,9,56.52
6,84,Yes,4,5,72.07
9,48,Yes,9,3,46.05
2,91,No,9,2,69.0
5,48,Yes,7,0,33.04
9,55,No,7,2,51.41
1,71,No,7,7,45.79
4,53,No,8,9,36.93
7,47,No,8,7,39.02
8,85,Yes,6,8,80.38
1,82,No,8,7,57.48
7,95,Yes,5,6,86.82
9,67,No,5,9,64.03
8,85,No,7,2,79.09
6,87,No,5,3,74.63
